# PersonalHub Codex code map
# Purpose: cheap semantic routing before source search. This is a hint index, never a substitute for code/tests as truth.
# Usage: search this file for the user's concept/alias; open only the matched primary/related paths; expand search only if those paths are insufficient or stale.
# Maintenance: update a row only when ownership/path/symbol meaning materially changes. Do not add every function/class.
# Columns: key<TAB>aliases<TAB>primary_symbol<TAB>primary_path<TAB>related_paths<TAB>targeted_tests
app.shell	home|hub shell|module launcher|main navigation	MainActivity	app/src/main/java/com/gernalix/personalhub/MainActivity.kt	app/src/main/java/com/gernalix/personalhub/PersonalHubApplication.kt	app/src/test/java/com/gernalix/personalhub/HubModuleTest.kt
app.settings	settings|database settings|profiles|datasette settings|home shortcuts	HubSettings	app/src/main/java/com/gernalix/personalhub/capsules/settings/HubSettings.kt	app/src/main/java/com/gernalix/personalhub/DatabaseActivity.kt	-
app.shortcuts	launcher shortcuts|home shortcuts|deep link modules	LauncherShortcutsCapsule	app/src/main/java/com/gernalix/personalhub/capsules/shortcuts/LauncherShortcutsCapsule.kt	app/src/main/res/xml/shortcuts.xml	benchmark/src/main/java/com/gernalix/personalhub/benchmark/PersonalHubShortcutBenchmarks.kt
app.deep_links	deep link|permalink|Workflowy link|external link|personalhub URI	HubDeepLinkContract	contracts/database/src/main/java/com/gernalix/personalhub/contracts/database/HubDeepLinkContract.kt	app/src/main/java/com/gernalix/personalhub/HubDeepLinkActivity.kt;core/hub-context/src/main/java/com/gernalix/personalhub/core/hubcontext/HubContextLinks.kt;app/src/main/java/com/gernalix/personalhub/HubTemporalSearchScreen.kt;app/src/main/java/com/gernalix/personalhub/HubHistorySearchScreen.kt	app/src/test/java/com/gernalix/personalhub/HubDeepLinkContractTest.kt
app.workflowy	Workflowy|Integra Workflowy|Workflowy note|Workflowy share|Workflowy days	WorkflowyIntegrationSettings	core/hub-context/src/main/java/com/gernalix/personalhub/core/hubcontext/WorkflowyIntegration.kt	core/hub-context/src/main/java/com/gernalix/personalhub/core/hubcontext/HubContextLinks.kt;app/src/main/java/com/gernalix/personalhub/WorkflowyShareActivity.kt;app/src/main/java/com/gernalix/personalhub/capsules/settings/WorkflowyIntegrationSettings.kt;app/src/main/java/com/gernalix/personalhub/workflowydays/WorkflowyDays.kt;docs/deep-links-v1.md	core/hub-context/src/test/java/com/gernalix/personalhub/core/hubcontext/WorkflowyIntegrationTest.kt;app/src/test/java/com/gernalix/personalhub/workflowydays/WorkflowyDaysTest.kt
database.schema	Room|personalhub.db|schema|migration	PersonalHubDatabase	core/database/src/main/java/com/gernalix/personalhub/core/database/PersonalHubDatabase.kt	core/database/src/main/java/com/gernalix/personalhub/core/database/DatabaseStartupGate.kt;contracts/database/src/main/java/com/gernalix/personalhub/contracts/database;core/database/schemas/com.gernalix.personalhub.core.database.PersonalHubDatabase	core/database/src/test/java/com/gernalix/personalhub/core/database/DatabaseStartupGateTest.kt;app/src/androidTest/java/com/gernalix/personalhub/GlobalDatabaseInstrumentedTest.kt
database.external_migration	external DB migration|schema 20 to 21|v60 database|Salute removal	migrate_personalhub_v20_to_v21.py	tools/migrate_personalhub_v20_to_v21.py	tools/migrations/personalhub_20_21.sql;docs/DATABASE_SCHEMA_UPGRADES.md	tools/test_migrate_personalhub_v20_to_v21.py
database.import_export	DB import|DB export|backup|restore|atomic import	DatabaseVault	core/database/src/main/java/com/gernalix/personalhub/core/database/DatabaseVault.kt	app/src/main/java/com/gernalix/personalhub/DatabaseActivity.kt;app/src/main/java/com/gernalix/personalhub/DatabaseRestartActivity.kt	app/src/androidTest/java/com/gernalix/personalhub/GlobalDatabaseInstrumentedTest.kt
database.profiles	profiles|multi database|work personal|database switch|profile switch	DatabaseProfiles	core/database/src/main/java/com/gernalix/personalhub/core/database/DatabaseProfiles.kt	core/database/src/main/java/com/gernalix/personalhub/core/database/DatabaseVault.kt;app/src/main/java/com/gernalix/personalhub/ProfileRuntimeCoordinator.kt;app/src/main/java/com/gernalix/personalhub/capsules/settings/HubSettings.kt	core/database/src/test/java/com/gernalix/personalhub/core/database/DatabaseProfilesTest.kt
core.alerts	alert engine|shared alerts|link-only notification|Tasker alert bridge|AlarmManager|notification channel|PendingIntent	AlertMatching	core/alerts/src/main/java/com/gernalix/personalhub/core/alerts/AlertMatching.kt	core/alerts/src/main/java/com/gernalix/personalhub/core/alerts/AlertNotificationDispatcher.kt;core/alerts/src/main/java/com/gernalix/personalhub/core/alerts/HubAndroidPlatform.kt;core/alerts/src/main/java/com/gernalix/personalhub/core/alerts/AlertModels.kt;docs/ALERTS.md	core/alerts/src/test/java/com/gernalix/personalhub/core/alerts/AlertMatchingTest.kt;core/alerts/src/test/java/com/gernalix/personalhub/core/alerts/AlertLinkPolicyTest.kt
